,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
63,63,472,ATM,-,1126,204,1.324e-206,19412162,(p=1.13e-04),,27197168,(p=1.16e-04),,23435430,(p=1.16e-04),,25870146,(p=1.17e-04),,27625305,(p=1.21e-04),,28495793,(p=1.23e-04),,26965143,(p=2.01e-04),,19071090,(p=2.01e-04),,27462439,(p=2.01e-04),,16082221,(p=2.01e-04),
64,64,8453,CUL2,-,161,104,1.921e-202,26976604,(p=7.40e-05),,18173839,(p=7.92e-05),,17439941,(p=8.13e-05),,26906416,(p=8.64e-05),,11967155,(p=8.74e-05),,25540389,(p=8.91e-05),,21778237,(p=9.01e-05),,15448697,(p=9.35e-05),,22013077,(p=9.35e-05),,22466964,(p=9.46e-05),
65,65,2146,EZH2,-,780,173,1.027e-201,27338022,(p=1.13e-04),,21383005,(p=1.16e-04),,25890085,(p=1.19e-04),,22675170,(p=1.22e-04),,26304929,(p=1.22e-04),,26631032,(p=3.00e-04),,27391784,(p=3.03e-04),,24213577,(p=3.04e-04),,25470042,(p=5.00e-04),,27882937,(p=5.00e-04),
66,66,10413,YAP1,-,554,153,1.606e-201,28720576,(p=1.17e-04),,21383157,(p=1.17e-04),,24884509,(p=1.19e-04),,22632819,(p=1.19e-04),,26432639,(p=1.24e-04),,24107629,(p=3.02e-04),,22618028,(p=4.00e-04),,21205866,(p=5.00e-04),,24810989,(p=5.01e-04),,24101513,(p=5.01e-04),
67,67,841,CASP8,-,789,167,1.981e-193,22864571,(p=1.02e-04),,19684859,(p=1.14e-04),,21724551,(p=1.15e-04),,24577083,(p=1.17e-04),,21282461,(p=1.22e-04),,21525013,(p=2.01e-04),,27465556,(p=2.02e-04),,18076022,(p=3.01e-04),,20811726,(p=3.02e-04),,22585859,(p=3.02e-04),
68,68,7332,UBE2L3,-,234,111,8.27e-192,19250909,(p=1.04e-04),,24821572,(p=1.06e-04),,24979766,(p=1.09e-04),,28710279,(p=1.15e-04),,12525502,(p=1.18e-04),,20804422,(p=1.19e-04),,22271254,(p=1.20e-04),,27565346,(p=1.21e-04),,28169289,(p=1.22e-04),,16714300,(p=2.01e-04),
69,69,9817,KEAP1,-,291,117,6.053e-189,17439941,(p=8.13e-05),,16449638,(p=9.04e-05),,17254749,(p=9.19e-05),,15601839,(p=9.97e-05),,20421418,(p=1.03e-04),,23213463,(p=1.06e-04),,18757741,(p=1.07e-04),,21795997,(p=1.16e-04),,21482715,(p=1.16e-04),,25505069,(p=1.16e-04),
70,70,7040,TGFB1,-,3801,332,1.543e-186,22641218,(p=1.09e-04),,25885043,(p=1.09e-04),,24684802,(p=1.18e-04),,23500081,(p=1.19e-04),,21406405,(p=1.20e-04),,23892434,(p=1.21e-04),,24503536,(p=1.21e-04),,19221482,(p=1.22e-04),,23467611,(p=1.23e-04),,20622901,(p=1.23e-04),
71,71,7329,UBE2I,-,439,131,1.623e-185,19250909,(p=1.04e-04),,21113135,(p=1.17e-04),,11278694,(p=1.19e-04),,17533377,(p=1.19e-04),,12565873,(p=1.22e-04),,20805487,(p=1.24e-04),,16566921,(p=2.01e-04),,24811749,(p=2.01e-04),,15931224,(p=2.01e-04),,15961505,(p=3.00e-04),
72,72,142,PARP1,-,942,171,8.845e-185,28454547,(p=1.08e-04),,24847116,(p=1.12e-04),,25147182,(p=1.18e-04),,26513298,(p=1.20e-04),,27468725,(p=1.22e-04),,24219164,(p=2.01e-04),,22101337,(p=3.00e-04),,21460625,(p=3.01e-04),,26351319,(p=3.02e-04),,24886089,(p=3.03e-04),
