,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
45,45,331,XIAP,-,499,141,4.036e-188,27607580,(p=1.03e-04),,17339366,(p=3.01e-04),,22934750,(p=3.05e-04),,27927753,(p=3.08e-04),,25501831,(p=3.08e-04),,18049476,(p=3.09e-04),,20676365,(p=3.11e-04),,23640046,(p=3.11e-04),,25572427,(p=3.12e-04),,22776562,(p=3.13e-04),
46,46,3091,HIF1A,-,2688,283,7.808e-188,24189531,(p=1.11e-04),,20706634,(p=1.11e-04),,20169663,(p=3.05e-04),,25105148,(p=3.07e-04),,23785417,(p=3.08e-04),,16596228,(p=3.09e-04),,27394002,(p=3.09e-04),,24362462,(p=3.12e-04),,21085474,(p=3.12e-04),,26292663,(p=3.13e-04),
47,47,5925,RB1,-,1124,189,6.792e-187,19225156,(p=9.13e-05),,21139044,(p=1.11e-04),,16205633,(p=3.03e-04),,19556892,(p=3.04e-04),,19883508,(p=3.04e-04),,14681231,(p=3.05e-04),,15147269,(p=3.06e-04),,19631451,(p=3.08e-04),,21278246,(p=3.08e-04),,12963997,(p=3.10e-04),
48,48,836,CASP3,-,1069,185,1.143e-186,24607276,(p=9.77e-05),,21441410,(p=1.12e-04),,20038816,(p=3.06e-04),,25435190,(p=3.06e-04),,21724551,(p=3.07e-04),,19996272,(p=3.08e-04),,22482362,(p=3.10e-04),,20072652,(p=3.10e-04),,24573549,(p=3.11e-04),,20045442,(p=3.11e-04),
49,49,673,BRAF,-,1852,234,2.707e-186,23447565,(p=1.09e-04),,21936566,(p=3.00e-04),,24486585,(p=3.04e-04),,18632627,(p=3.06e-04),,23242808,(p=3.07e-04),,19276360,(p=3.08e-04),,22180495,(p=3.08e-04),,19274086,(p=3.11e-04),,23908594,(p=3.11e-04),,26959890,(p=3.11e-04),
50,50,2146,EZH2,-,780,162,2.096e-184,25890085,(p=3.05e-04),,20015867,(p=3.08e-04),,21406404,(p=3.09e-04),,16963837,(p=3.10e-04),,27391784,(p=3.11e-04),,26631032,(p=3.12e-04),,26304929,(p=3.13e-04),,21321380,(p=3.13e-04),,27941792,(p=3.14e-04),,26517694,(p=3.14e-04),
51,51,6198,RPS6KB1,-,354,122,1.528e-181,22110663,(p=1.07e-04),,24729449,(p=3.05e-04),,19881535,(p=3.06e-04),,25379021,(p=3.09e-04),,18652687,(p=3.11e-04),,25061101,(p=3.11e-04),,29305864,(p=3.16e-04),,21424608,(p=7.00e-04),,18025271,(p=9.00e-04),,15028555,(p=9.01e-04),
52,52,2065,ERBB3,-,443,131,2.406e-181,23866081,(p=3.03e-04),,26595522,(p=3.05e-04),,21918175,(p=3.05e-04),,24044505,(p=3.07e-04),,21278786,(p=3.11e-04),,18381441,(p=3.12e-04),,21741919,(p=3.12e-04),,25017791,(p=3.14e-04),,15504738,(p=3.16e-04),,25596284,(p=7.00e-04),
53,53,5578,PRKCA,-,817,158,3.14e-176,26044736,(p=1.08e-04),,21949397,(p=1.11e-04),,9738012,(p=3.03e-04),,20444294,(p=3.04e-04),,15563462,(p=3.06e-04),,28629334,(p=3.11e-04),,26056003,(p=3.12e-04),,22639047,(p=3.13e-04),,19672862,(p=3.14e-04),,22617682,(p=4.00e-04),
54,54,5970,RELA,-,1309,190,9.681e-176,20706634,(p=1.11e-04),,19789307,(p=3.06e-04),,19746155,(p=3.10e-04),,14623898,(p=3.11e-04),,28629334,(p=3.11e-04),,26247921,(p=3.12e-04),,20346213,(p=3.12e-04),,28466782,(p=3.14e-04),,22081069,(p=3.15e-04),,28085489,(p=3.16e-04),
55,55,5292,PIM1,-,211,100,1.549e-173,21062737,(p=9.51e-05),,18593906,(p=1.07e-04),,26956053,(p=3.03e-04),,20939820,(p=3.03e-04),,25121590,(p=3.03e-04),,20958956,(p=3.06e-04),,25342548,(p=3.06e-04),,20639905,(p=3.06e-04),,12111331,(p=3.08e-04),,22700982,(p=3.08e-04),
56,56,613,BCR,-,399,121,1.315e-172,22447844,(p=9.89e-05),,24967705,(p=9.95e-05),,23934627,(p=1.00e-04),,27856601,(p=1.05e-04),,20207846,(p=1.06e-04),,20442314,(p=1.08e-04),,24487968,(p=1.11e-04),,22665066,(p=3.00e-04),,25217883,(p=3.02e-04),,26721204,(p=3.05e-04),
