,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
39,39,29126,CD274,-,734,25,6.185e-26,28275115,(p=1.00e-03),,24732592,(p=1.10e-03),,24175978,(p=1.20e-03),,24270737,(p=2.70e-03),,18476597,(p=2.70e-03),,28062906,(p=4.40e-03),,27855694,(p=4.80e-03),,28842748,(p=5.20e-03),,28230773,(p=5.30e-03),,28351581,(p=5.40e-03),
40,40,3717,JAK2,-,1189,30,6.05e-26,20072651,(p=1.70e-03),,25226617,(p=1.70e-03),,19176031,(p=2.20e-03),,25516983,(p=2.90e-03),,20536350,(p=3.10e-03),,26214121,(p=3.10e-03),,21789382,(p=3.70e-03),,25260694,(p=3.70e-03),,19799086,(p=4.00e-03),,28108507,(p=4.10e-03),
41,41,5290,PIK3CA,-,1251,30,2.327e-25,26947331,(p=1.00e-03),,22351695,(p=1.30e-03),,27573562,(p=1.40e-03),,27864574,(p=1.50e-03),,24231454,(p=2.60e-03),,27974663,(p=3.00e-03),,25215588,(p=3.50e-03),,27520487,(p=3.70e-03),,21789382,(p=3.70e-03),,27177864,(p=3.90e-03),
42,42,4851,NOTCH1,-,1098,28,6.616e-25,19057901,(p=1.10e-03),,24923451,(p=1.30e-03),,23349303,(p=2.70e-03),,21326611,(p=3.00e-03),,20861920,(p=3.00e-03),,20965628,(p=3.30e-03),,23295735,(p=3.30e-03),,22814294,(p=3.60e-03),,18663146,(p=3.70e-03),,24652989,(p=4.20e-03),
43,43,10018,BCL2L11,-,424,20,9.106e-25,22905229,(p=4.01e-04),,26874859,(p=4.02e-04),,27144333,(p=7.03e-04),,22131152,(p=7.04e-04),,19064725,(p=1.20e-03),,19541822,(p=1.50e-03),,27103402,(p=2.70e-03),,24737648,(p=3.00e-03),,28641145,(p=3.90e-03),,26287412,(p=4.80e-03),
44,44,207,AKT1,-,2893,43,1.482e-24,22183914,(p=2.08e-04),,24583795,(p=3.00e-04),,23437141,(p=7.02e-04),,16982329,(p=1.10e-03),,22351695,(p=1.30e-03),,17128418,(p=1.50e-03),,22131882,(p=2.60e-03),,24718901,(p=2.70e-03),,17041888,(p=2.70e-03),,20159991,(p=2.70e-03),
45,45,7515,XRCC1,-,1113,26,8.459e-23,17410042,(p=1.00e-03),,20216541,(p=1.30e-03),,20734048,(p=1.30e-03),,17197435,(p=1.30e-03),,19786980,(p=1.70e-03),,21463129,(p=1.70e-03),,17558308,(p=3.00e-03),,19963133,(p=3.10e-03),,17409981,(p=4.10e-03),,19636001,(p=4.30e-03),
46,46,2952,GSTT1,-,1711,31,1.175e-22,20303013,(p=1.29e-04),,16507781,(p=2.05e-04),,19005482,(p=7.04e-04),,11230469,(p=7.05e-04),,18581889,(p=1.10e-03),,20216541,(p=1.30e-03),,20459744,(p=1.30e-03),,18580952,(p=1.40e-03),,19786980,(p=1.70e-03),,16624155,(p=1.70e-03),
47,47,604,BCL6,-,326,17,1.479e-22,27494852,(p=8.01e-04),,25828391,(p=1.30e-03),,18494554,(p=1.40e-03),,26573234,(p=2.00e-03),,27015556,(p=2.60e-03),,23335369,(p=2.90e-03),,23708665,(p=4.00e-03),,19656156,(p=4.30e-03),,25090026,(p=4.50e-03),,26214636,(p=5.40e-03),
48,48,4233,MET,-,1039,25,1.626e-22,27789775,(p=7.04e-04),,28337527,(p=1.30e-03),,23745832,(p=1.40e-03),,21383285,(p=1.70e-03),,25908454,(p=2.20e-03),,27401892,(p=4.10e-03),,26580964,(p=4.20e-03),,24786972,(p=4.40e-03),,25087088,(p=4.40e-03),,29149761,(p=4.70e-03),
