,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
51,51,2263,FGFR2,-,528,68,1.435e-86,24518603,(p=1.03e-04),,18381441,(p=1.08e-04),,23060048,(p=3.00e-04),,25576915,(p=3.10e-04),,27007053,(p=3.11e-04),,25981814,(p=4.02e-04),,25512530,(p=4.04e-04),,23493349,(p=5.00e-04),,21152424,(p=7.00e-04),,24747080,(p=1.00e-03),
52,52,5243,ABCB1,-,2076,115,2.889e-85,27169328,(p=3.03e-04),,21154157,(p=3.09e-04),,25450670,(p=4.02e-04),,27649127,(p=4.06e-04),,25908454,(p=5.01e-04),,23771260,(p=5.01e-04),,17312388,(p=9.00e-04),,18654608,(p=9.01e-04),,20540746,(p=1.00e-03),,22491935,(p=1.00e-03),
53,53,3717,JAK2,-,1189,90,3.236e-85,22712764,(p=2.00e-04),,27025877,(p=3.07e-04),,26238612,(p=4.03e-04),,28440514,(p=4.04e-04),,26084564,(p=5.01e-04),,18829483,(p=1.00e-03),,15923602,(p=1.01e-03),,23857432,(p=1.20e-03),,21075308,(p=1.20e-03),,23838182,(p=1.20e-03),
54,54,5753,PTK6,-,102,42,1.269e-84,18719096,(p=3.06e-04),,25241146,(p=4.03e-04),,22231447,(p=4.03e-04),,25770659,(p=4.07e-04),,21923922,(p=4.07e-04),,17997837,(p=5.00e-04),,23291984,(p=1.00e-03),,20687930,(p=1.00e-03),,26013168,(p=1.30e-03),,23707532,(p=1.30e-03),
55,55,2932,GSK3B,-,1118,87,2.072e-84,15688030,(p=4.06e-04),,27432879,(p=9.01e-04),,22534782,(p=1.00e-03),,23729362,(p=1.00e-03),,19584164,(p=1.01e-03),,27780915,(p=1.20e-03),,22286758,(p=1.50e-03),,19202075,(p=2.60e-03),,24239461,(p=2.70e-03),,27481517,(p=2.80e-03),
56,56,2305,FOXM1,-,363,59,2.153e-84,23531216,(p=8.66e-05),,19513552,(p=1.10e-04),,28482906,(p=3.08e-04),,25213081,(p=4.03e-04),,19276163,(p=4.03e-04),,25391374,(p=5.00e-04),,27185371,(p=9.00e-04),,23318431,(p=1.10e-03),,18254960,(p=1.10e-03),,26918606,(p=1.30e-03),
57,57,5295,PIK3R1,-,660,71,9.74e-84,18803287,(p=1.08e-04),,16843263,(p=1.08e-04),,21278786,(p=1.10e-04),,24189400,(p=3.05e-04),,15812817,(p=4.05e-04),,26895380,(p=7.00e-04),,20007781,(p=1.00e-03),,22439932,(p=1.01e-03),,17006756,(p=1.20e-03),,21075308,(p=1.20e-03),
58,58,3320,HSP90AA1,-,908,78,6.569e-82,24384723,(p=1.00e-04),,19952121,(p=1.07e-04),,24189400,(p=3.05e-04),,22592212,(p=3.05e-04),,16024644,(p=3.07e-04),,19855434,(p=4.01e-04),,22806877,(p=4.03e-04),,22952420,(p=4.03e-04),,24463348,(p=4.06e-04),,11071886,(p=4.06e-04),
59,59,1499,CTNNB1,-,2298,116,8.96e-82,26268703,(p=3.01e-04),,24189400,(p=3.05e-04),,25164010,(p=3.09e-04),,28259822,(p=4.01e-04),,9535896,(p=9.01e-04),,27196759,(p=1.00e-03),,27780915,(p=1.20e-03),,21993766,(p=1.20e-03),,28551620,(p=1.30e-03),,23579873,(p=1.70e-03),
60,60,960,CD44,-,1050,82,1.965e-81,27499099,(p=1.10e-04),,18276068,(p=3.09e-04),,20491779,(p=3.11e-04),,23039365,(p=3.12e-04),,24606718,(p=4.06e-04),,19360323,(p=1.00e-03),,24167614,(p=1.00e-03),,20199686,(p=1.00e-03),,19633292,(p=1.01e-03),,25269647,(p=1.20e-03),
61,61,10018,BCL2L11,-,424,59,2.82e-80,23532334,(p=1.04e-04),,17927446,(p=1.05e-04),,26001141,(p=1.07e-04),,23382048,(p=1.07e-04),,26639561,(p=3.04e-04),,26287412,(p=3.08e-04),,24493829,(p=4.03e-04),,27986747,(p=4.05e-04),,24737648,(p=6.00e-04),,20237869,(p=7.01e-04),
62,62,5743,PTGS2,-,2041,105,3.359e-78,11972392,(p=4.00e-04),,21813027,(p=4.03e-04),,19671676,(p=6.00e-04),,17616668,(p=9.00e-04),,18381949,(p=1.00e-03),,26191267,(p=1.00e-03),,21078168,(p=1.01e-03),,21424032,(p=1.10e-03),,21044318,(p=1.30e-03),,18097584,(p=1.30e-03),
63,63,7040,TGFB1,-,3801,142,1.405e-76,18625725,(p=1.02e-04),,24830724,(p=1.09e-04),,18676771,(p=9.00e-04),,24376712,(p=1.00e-03),,19727403,(p=1.20e-03),,22641218,(p=1.30e-03),,27330076,(p=1.30e-03),,15044465,(p=1.70e-03),,18451140,(p=1.70e-03),,25103497,(p=1.70e-03),
64,64,2100,ESR2,-,1065,76,9.765e-75,21492444,(p=3.04e-04),,21498706,(p=3.07e-04),,25275589,(p=4.05e-04),,25347744,(p=9.01e-04),,15862947,(p=1.00e-03),,19676041,(p=1.20e-03),,26709918,(p=1.30e-03),,26070269,(p=1.50e-03),,21124760,(p=1.70e-03),,22349818,(p=1.90e-03),
65,65,2322,FLT3,-,568,58,2.221e-71,19540337,(p=5.01e-04),,27906677,(p=1.20e-03),,14654525,(p=1.30e-03),,17128418,(p=1.60e-03),,26286850,(p=2.20e-03),,20119833,(p=2.20e-03),,15604885,(p=2.20e-03),,17229632,(p=2.70e-03),,19684517,(p=2.80e-03),,15345593,(p=2.90e-03),
66,66,1432,MAPK14,-,1249,77,7.744e-71,21858220,(p=2.00e-04),,21923922,(p=4.07e-04),,12085235,(p=5.00e-04),,17616668,(p=9.00e-04),,15862947,(p=1.00e-03),,19885551,(p=1.00e-03),,20169663,(p=1.00e-03),,22413835,(p=1.10e-03),,23900300,(p=1.20e-03),,27107996,(p=1.30e-03),
67,67,10413,YAP1,-,554,57,1.052e-70,28376152,(p=1.07e-04),,27105908,(p=3.10e-04),,28684311,(p=8.00e-04),,27373987,(p=9.02e-04),,27832783,(p=1.30e-03),,28376174,(p=1.30e-03),,28848049,(p=1.50e-03),,28759011,(p=2.20e-03),,19935651,(p=2.70e-03),,24367099,(p=2.80e-03),
68,68,4486,MST1R,-,137,38,3.802e-70,20689759,(p=4.00e-04),,18620091,(p=4.01e-04),,25512530,(p=4.04e-04),,21543897,(p=4.06e-04),,23597200,(p=4.06e-04),,23811285,(p=8.00e-04),,21212418,(p=1.00e-03),,23542172,(p=1.00e-03),,17311308,(p=1.20e-03),,19307182,(p=1.20e-03),
69,69,5347,PLK1,-,605,58,8.003e-70,23144294,(p=4.02e-04),,22309939,(p=6.00e-04),,27558135,(p=1.01e-03),,22188812,(p=1.30e-03),,21436619,(p=2.10e-03),,21953073,(p=2.20e-03),,28126323,(p=2.20e-03),,27647547,(p=2.20e-03),,21399492,(p=2.60e-03),,22753241,(p=2.70e-03),
70,70,4851,NOTCH1,-,1098,72,9.973e-70,18469855,(p=9.02e-05),,26967479,(p=4.03e-04),,18593923,(p=4.05e-04),,23916913,(p=4.05e-04),,22173954,(p=1.00e-03),,28122586,(p=1.00e-03),,21679465,(p=1.20e-03),,16651424,(p=1.30e-03),,26394830,(p=1.30e-03),,19956862,(p=2.50e-03),
71,71,331,XIAP,-,499,54,3.04e-69,20406946,(p=1.06e-04),,26821068,(p=1.08e-04),,27607580,(p=4.02e-04),,25501831,(p=9.01e-04),,23323858,(p=1.00e-03),,17339366,(p=1.01e-03),,22776562,(p=1.30e-03),,28057023,(p=2.40e-03),,25572427,(p=2.50e-03),,15044484,(p=2.80e-03),
72,72,3479,IGF1,-,1620,84,4.003e-69,14697248,(p=3.00e-04),,29029116,(p=4.03e-04),,24026884,(p=4.05e-04),,12555073,(p=1.00e-03),,22359227,(p=1.00e-03),,18316619,(p=1.01e-03),,23857432,(p=1.20e-03),,17133354,(p=1.20e-03),,19891769,(p=1.30e-03),,20044479,(p=1.30e-03),
73,73,6198,RPS6KB1,-,354,48,2.129e-68,27993682,(p=1.08e-04),,18025271,(p=3.01e-04),,24447434,(p=4.07e-04),,24729449,(p=1.01e-03),,22110663,(p=1.30e-03),,25600244,(p=1.30e-03),,28376174,(p=1.30e-03),,29305864,(p=2.10e-03),,18652687,(p=2.20e-03),,25379021,(p=2.80e-03),
74,74,5604,MAP2K1,-,386,49,5.123e-68,22773810,(p=4.00e-04),,19567590,(p=1.00e-03),,24011934,(p=1.00e-03),,18632602,(p=1.00e-03),,27636997,(p=1.00e-03),,25351745,(p=1.70e-03),,22037177,(p=2.20e-03),,20679487,(p=2.70e-03),,26324360,(p=2.80e-03),,19816936,(p=2.90e-03),
75,75,5159,PDGFRB,-,434,50,6.828e-67,18809244,(p=1.00e-03),,24747080,(p=1.00e-03),,24758355,(p=1.01e-03),,20197394,(p=1.30e-03),,21097719,(p=1.30e-03),,12700668,(p=2.70e-03),,23146028,(p=2.70e-03),,17229632,(p=2.70e-03),,23861540,(p=2.80e-03),,27259262,(p=2.90e-03),
76,76,5599,MAPK8,-,927,64,5.362e-66,18025271,(p=3.01e-04),,20145041,(p=4.02e-04),,22433870,(p=1.01e-03),,24642040,(p=1.20e-03),,19593445,(p=2.00e-03),,24658140,(p=2.20e-03),,21931671,(p=2.20e-03),,20944115,(p=2.20e-03),,12707267,(p=2.80e-03),,25341038,(p=2.80e-03),
77,77,5979,RET,-,761,59,2.197e-65,23841470,(p=4.01e-04),,24045439,(p=4.05e-04),,24526731,(p=4.06e-04),,23650283,(p=7.00e-04),,18756447,(p=9.00e-04),,27090738,(p=1.00e-03),,27602955,(p=1.00e-03),,20531297,(p=1.30e-03),,26853422,(p=1.30e-03),,21947652,(p=1.30e-03),
