,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
46,46,2065,ERBB3,-,443,102,2.327e-141,24044505,(p=1.02e-04),,21278786,(p=1.06e-04),,27358485,(p=4.00e-04),,24667376,(p=4.01e-04),,21741919,(p=7.01e-04),,21918175,(p=8.01e-04),,18632642,(p=8.03e-04),,25112701,(p=8.03e-04),,26148232,(p=9.01e-04),,26595522,(p=1.00e-03),
47,47,3845,KRAS,-,2028,178,1.889e-136,26842935,(p=9.02e-05),,27607580,(p=9.36e-05),,24011934,(p=9.47e-05),,24648348,(p=9.57e-05),,20124452,(p=1.03e-04),,28846180,(p=3.02e-04),,25326806,(p=4.02e-04),,21385921,(p=4.02e-04),,24694877,(p=5.00e-04),,25444464,(p=5.01e-04),
48,48,6502,SKP2,-,415,95,5.334e-134,24651440,(p=1.02e-04),,18451165,(p=3.02e-04),,19636294,(p=4.01e-04),,22204716,(p=4.03e-04),,18716061,(p=5.01e-04),,25788262,(p=5.02e-04),,28230855,(p=7.00e-04),,23907123,(p=8.02e-04),,24443386,(p=8.03e-04),,18519678,(p=1.00e-03),
49,49,558,AXL,-,235,79,4.827e-132,22890323,(p=4.01e-04),,21132014,(p=4.02e-04),,25767293,(p=5.02e-04),,27856601,(p=7.00e-04),,20818175,(p=8.00e-04),,27671334,(p=8.01e-04),,28251492,(p=8.02e-04),,26036314,(p=8.02e-04),,28118606,(p=8.02e-04),,26848524,(p=8.02e-04),
50,50,10018,BCL2L11,-,424,94,1.467e-131,17927446,(p=1.03e-04),,26917778,(p=1.06e-04),,22270368,(p=3.02e-04),,23912711,(p=4.00e-04),,23382048,(p=4.03e-04),,26874859,(p=5.00e-04),,19622586,(p=5.02e-04),,23500081,(p=7.00e-04),,26859456,(p=8.01e-04),,23243017,(p=8.01e-04),
51,51,5294,PIK3CG,-,412,93,2.426e-131,18725974,(p=1.02e-04),,20124452,(p=1.03e-04),,18025271,(p=3.01e-04),,18652687,(p=4.01e-04),,19621391,(p=8.01e-04),,20354121,(p=8.02e-04),,14605879,(p=1.00e-03),,18451140,(p=1.10e-03),,19567590,(p=1.10e-03),,18194602,(p=1.10e-03),
52,52,472,ATM,-,1126,132,1.62e-130,27197168,(p=1.00e-04),,26563132,(p=1.05e-04),,24480460,(p=5.01e-04),,26053094,(p=5.02e-04),,17510082,(p=7.00e-04),,27625305,(p=8.00e-04),,19881958,(p=9.00e-04),,20581453,(p=9.01e-04),,19412162,(p=1.10e-03),,26825989,(p=1.10e-03),
53,53,331,XIAP,-,499,98,4.437e-130,27607580,(p=9.36e-05),,17339366,(p=1.01e-04),,22776562,(p=3.02e-04),,23640046,(p=4.03e-04),,18829553,(p=4.03e-04),,27317434,(p=5.00e-04),,25974735,(p=5.02e-04),,20484174,(p=8.02e-04),,22173242,(p=8.02e-04),,12855663,(p=8.02e-04),
54,54,2099,ESR1,-,2923,203,1.965e-129,25275589,(p=9.13e-05),,21509526,(p=9.30e-05),,24045439,(p=9.48e-05),,18264135,(p=9.98e-05),,18593923,(p=1.07e-04),,16113100,(p=3.01e-04),,21761334,(p=4.02e-04),,28320353,(p=5.00e-04),,25991817,(p=5.01e-04),,23991038,(p=5.01e-04),
55,55,5925,RB1,-,1124,130,1.474e-128,24170547,(p=9.95e-05),,25028469,(p=1.01e-04),,16205633,(p=1.03e-04),,21139044,(p=4.01e-04),,16985050,(p=4.02e-04),,19225156,(p=4.02e-04),,21278246,(p=5.00e-04),,19556892,(p=5.01e-04),,19633425,(p=5.01e-04),,17160137,(p=8.01e-04),
56,56,367,AR,-,2103,164,4.798e-123,28468774,(p=8.95e-05),,25277659,(p=9.42e-05),,28745319,(p=1.02e-04),,22456197,(p=2.00e-04),,18776922,(p=3.02e-04),,24615402,(p=4.00e-04),,26506516,(p=4.01e-04),,22456196,(p=5.00e-04),,28228262,(p=5.00e-04),,26876202,(p=5.02e-04),
57,57,10413,YAP1,-,554,96,1.044e-122,28376152,(p=3.02e-04),,27832783,(p=5.01e-04),,25998128,(p=9.00e-04),,26119935,(p=9.00e-04),,26432639,(p=1.00e-03),,28376174,(p=1.10e-03),,28759011,(p=1.10e-03),,28576749,(p=1.10e-03),,24993351,(p=1.20e-03),,23027127,(p=1.40e-03),
58,58,5292,PIM1,-,211,71,1.148e-121,21062737,(p=9.98e-05),,26075720,(p=4.01e-04),,24771642,(p=4.03e-04),,27775704,(p=4.03e-04),,26956053,(p=5.00e-04),,28698206,(p=5.01e-04),,27775705,(p=5.02e-04),,20639905,(p=8.01e-04),,23131564,(p=8.02e-04),,21859846,(p=8.02e-04),
59,59,598,BCL2L1,-,648,97,2.935e-117,24922075,(p=1.01e-04),,17927446,(p=1.03e-04),,26188358,(p=1.06e-04),,21863213,(p=4.01e-04),,15782132,(p=4.02e-04),,23475955,(p=5.01e-04),,20045442,(p=5.02e-04),,23680104,(p=5.02e-04),,25590803,(p=6.00e-04),,26452980,(p=8.00e-04),
60,60,1021,CDK6,-,286,73,3.354e-114,27986745,(p=8.41e-05),,20354191,(p=9.02e-05),,27252418,(p=1.03e-04),,24444383,(p=1.04e-04),,25524798,(p=4.01e-04),,16985050,(p=4.02e-04),,25876993,(p=4.03e-04),,26498144,(p=4.03e-04),,21278246,(p=5.00e-04),,25991817,(p=5.01e-04),
61,61,545,ATR,-,458,84,8.232e-114,26563132,(p=1.05e-04),,29038346,(p=4.01e-04),,21308861,(p=4.03e-04),,26755646,(p=5.00e-04),,28228262,(p=5.00e-04),,28440428,(p=7.01e-04),,27625305,(p=8.00e-04),,25468710,(p=8.01e-04),,24327542,(p=9.00e-04),,19372558,(p=1.10e-03),
62,62,3717,JAK2,-,1189,118,2.012e-113,24158701,(p=8.65e-05),,20072651,(p=9.84e-05),,23531921,(p=1.02e-04),,21518725,(p=1.03e-04),,23838182,(p=1.03e-04),,24886434,(p=1.05e-04),,23123718,(p=1.06e-04),,26084564,(p=2.00e-04),,26360705,(p=4.01e-04),,24610827,(p=5.02e-04),
63,63,7422,VEGFA,-,4154,215,2.984e-112,21886838,(p=9.61e-05),,25889301,(p=9.88e-05),,18278068,(p=1.06e-04),,24821582,(p=3.02e-04),,18494554,(p=4.00e-04),,25326806,(p=4.02e-04),,27727447,(p=4.02e-04),,17016437,(p=5.00e-04),,22848663,(p=8.01e-04),,17483438,(p=8.03e-04),
64,64,5970,RELA,-,1309,121,1.002e-111,20706634,(p=2.00e-04),,26247921,(p=4.02e-04),,21165563,(p=7.00e-04),,26593250,(p=8.00e-04),,15657351,(p=9.00e-04),,20482821,(p=1.10e-03),,19789307,(p=1.10e-03),,20346213,(p=1.10e-03),,19746155,(p=1.10e-03),,24413684,(p=1.50e-03),
65,65,3320,HSP90AA1,-,908,103,7.128e-110,22144665,(p=9.53e-05),,24682747,(p=9.55e-05),,22806877,(p=1.03e-04),,19952121,(p=1.05e-04),,24463348,(p=1.05e-04),,24384723,(p=1.06e-04),,21372220,(p=1.06e-04),,24927996,(p=3.02e-04),,24398428,(p=4.01e-04),,26141945,(p=5.01e-04),
66,66,3611,ILK,-,289,70,7.085e-109,27576342,(p=9.86e-05),,26176204,(p=1.04e-04),,21601006,(p=1.04e-04),,19409087,(p=1.05e-04),,22570869,(p=1.06e-04),,26531674,(p=3.00e-04),,20838383,(p=3.02e-04),,25657336,(p=4.01e-04),,12778079,(p=5.01e-04),,16648553,(p=7.00e-04),
67,67,23411,SIRT1,-,1010,106,1.675e-108,26646449,(p=1.05e-04),,27452907,(p=5.01e-04),,23561972,(p=5.02e-04),,26225773,(p=7.00e-04),,25445714,(p=8.03e-04),,19433578,(p=9.00e-04),,24855208,(p=9.00e-04),,24743044,(p=1.00e-03),,22207735,(p=1.00e-03),,24343700,(p=1.00e-03),
68,68,5562,PRKAA1,-,407,77,5.299e-108,23475945,(p=9.04e-05),,21474997,(p=1.06e-04),,22607554,(p=2.00e-04),,24955726,(p=5.00e-04),,25356873,(p=8.00e-04),,23677989,(p=9.00e-04),,23883584,(p=1.00e-03),,25656579,(p=1.10e-03),,19723093,(p=1.10e-03),,23963659,(p=1.10e-03),
69,69,7040,TGFB1,-,3801,196,1.708e-107,21406405,(p=9.54e-05),,22641218,(p=1.04e-04),,27330076,(p=1.06e-04),,24376712,(p=5.01e-04),,23500081,(p=7.00e-04),,25885043,(p=8.00e-04),,26884601,(p=9.01e-04),,22310280,(p=9.01e-04),,23786849,(p=1.00e-03),,25531329,(p=1.10e-03),
70,70,648,BMI1,-,454,79,5.142e-107,25286028,(p=9.40e-05),,26935956,(p=1.03e-04),,23204235,(p=2.00e-04),,24913180,(p=4.00e-04),,16963837,(p=8.00e-04),,28260023,(p=8.03e-04),,27878292,(p=1.00e-03),,24337040,(p=1.10e-03),,20015867,(p=1.30e-03),,25663545,(p=1.30e-03),
71,71,8795,TNFRSF10B,-,324,71,1.129e-106,20875141,(p=8.01e-04),,23053497,(p=8.01e-04),,12805378,(p=9.00e-04),,24895135,(p=1.10e-03),,28459212,(p=1.10e-03),,19593445,(p=1.10e-03),,21525171,(p=1.40e-03),,21459798,(p=1.40e-03),,28424227,(p=1.50e-03),,27387452,(p=1.60e-03),
72,72,208,AKT2,-,311,70,1.913e-106,27663592,(p=1.00e-03),,26895380,(p=1.00e-03),,24699302,(p=1.10e-03),,11139588,(p=1.10e-03),,20409325,(p=1.10e-03),,26234648,(p=1.40e-03),,28036396,(p=1.40e-03),,21680733,(p=1.90e-03),,21722267,(p=1.90e-03),,29025710,(p=2.20e-03),
73,73,4780,NFE2L2,-,1034,105,1.961e-106,21842204,(p=2.00e-04),,23108405,(p=8.02e-04),,26503118,(p=8.03e-04),,24311782,(p=1.00e-03),,20805228,(p=1.00e-03),,21062981,(p=1.10e-03),,28951455,(p=1.40e-03),,26536456,(p=1.60e-03),,23673813,(p=1.80e-03),,26491260,(p=1.80e-03),
