,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
44,44,613,BCR,-,399,51,5.42e-70,24189400,(p=4.18e-04),,21156844,(p=1.10e-03),,23047475,(p=1.20e-03),,25479544,(p=1.60e-03),,27856601,(p=1.60e-03),,19557636,(p=1.80e-03),,22384256,(p=1.80e-03),,22896000,(p=1.90e-03),,28278078,(p=1.90e-03),,24967705,(p=1.90e-03),
45,45,5243,ABCB1,-,2076,95,1.282e-69,26351321,(p=4.02e-04),,26632382,(p=4.08e-04),,26556876,(p=4.14e-04),,27169328,(p=5.02e-04),,27649127,(p=8.03e-04),,28340578,(p=9.01e-04),,26219569,(p=1.10e-03),,21154157,(p=1.10e-03),,17312388,(p=1.10e-03),,12084474,(p=1.10e-03),
46,46,3791,KDR,-,875,66,1.52e-69,26853422,(p=1.02e-04),,21724587,(p=4.16e-04),,18379357,(p=6.01e-04),,27059553,(p=8.00e-04),,27789775,(p=8.01e-04),,20485168,(p=9.02e-04),,22170730,(p=1.10e-03),,25293577,(p=1.60e-03),,23146028,(p=1.60e-03),,19776290,(p=1.60e-03),
47,47,2146,EZH2,-,780,63,3.182e-69,28759046,(p=4.13e-04),,28359267,(p=6.02e-04),,27941792,(p=1.10e-03),,25633838,(p=1.60e-03),,25262426,(p=1.90e-03),,24097870,(p=1.90e-03),,27195672,(p=1.90e-03),,19904743,(p=2.20e-03),,16963837,(p=2.50e-03),,26890396,(p=2.60e-03),
48,48,1027,CDKN1B,-,929,67,5.094e-69,25228008,(p=4.17e-04),,20631637,(p=5.03e-04),,25524798,(p=9.02e-04),,23982416,(p=1.10e-03),,12599217,(p=1.60e-03),,27035903,(p=1.60e-03),,25151966,(p=1.90e-03),,27629878,(p=2.00e-03),,27197201,(p=2.50e-03),,18393360,(p=2.60e-03),
49,49,9429,ABCG2,-,705,60,2.656e-68,26556876,(p=4.14e-04),,21731744,(p=4.14e-04),,20975373,(p=5.05e-04),,21487020,(p=8.02e-04),,26943330,(p=9.01e-04),,28340578,(p=9.01e-04),,21154157,(p=1.10e-03),,17312388,(p=1.10e-03),,17938326,(p=1.10e-03),,23960095,(p=1.20e-03),
50,50,2261,FGFR3,-,443,51,1.122e-67,25294908,(p=4.02e-04),,24850843,(p=5.02e-04),,21152424,(p=1.10e-03),,23902722,(p=1.10e-03),,21072204,(p=1.60e-03),,23786770,(p=1.80e-03),,22730329,(p=1.90e-03),,25535896,(p=1.90e-03),,23744832,(p=2.50e-03),,27998968,(p=2.50e-03),
51,51,3082,HGF,-,693,58,2.531e-66,22435662,(p=9.49e-05),,23045285,(p=2.00e-04),,25502629,(p=4.03e-04),,21423210,(p=4.18e-04),,24118504,(p=9.00e-04),,24800946,(p=9.01e-04),,28341789,(p=1.00e-03),,20019837,(p=1.00e-03),,21440951,(p=1.10e-03),,23536720,(p=1.30e-03),
52,52,2305,FOXM1,-,363,47,3.333e-66,28482906,(p=5.03e-04),,23531216,(p=6.00e-04),,25213081,(p=6.01e-04),,28850563,(p=8.02e-04),,27185371,(p=1.60e-03),,22447226,(p=1.80e-03),,23857410,(p=2.60e-03),,19276163,(p=3.10e-03),,19513552,(p=3.20e-03),,26279295,(p=3.40e-03),
53,53,4790,NFKB1,-,2819,105,5.714e-66,25028470,(p=1.07e-04),,27091996,(p=4.10e-04),,21951562,(p=8.01e-04),,19885551,(p=8.02e-04),,24300974,(p=1.10e-03),,24642040,(p=1.20e-03),,20482842,(p=1.20e-03),,22384099,(p=1.60e-03),,24771846,(p=1.90e-03),,22145100,(p=1.90e-03),
