,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
49,49,1111,CHEK1,-,455,15,1.861e-17,24098799,(p=5.00e-04),,27815358,(p=3.50e-03),,26988986,(p=4.10e-03),,24913641,(p=4.50e-03),,25884494,(p=5.30e-03),,25688741,(p=6.00e-03),,27743911,(p=6.40e-03),,25084614,(p=6.40e-03),,27625304,(p=6.50e-03),,25468710,(p=6.60e-03),
50,50,960,CD44,-,1050,20,2.279e-17,19857547,(p=2.04e-04),,24680978,(p=1.70e-03),,20920234,(p=2.10e-03),,26687806,(p=2.60e-03),,27748881,(p=3.30e-03),,26762850,(p=3.30e-03),,22152097,(p=5.00e-03),,26617852,(p=5.10e-03),,26750138,(p=5.20e-03),,24739401,(p=5.80e-03),
51,51,10320,IKZF1,-,225,12,4.691e-17,23773228,(p=9.00e-04),,24724051,(p=1.90e-03),,26119939,(p=2.60e-03),,27067989,(p=3.50e-03),,21740479,(p=4.30e-03),,28190000,(p=4.30e-03),,22699455,(p=6.00e-03),,25501350,(p=6.30e-03),,27979924,(p=6.80e-03),,19770381,(p=9.10e-03),
52,52,595,CCND1,-,1381,22,4.646e-17,26261659,(p=7.00e-04),,20631636,(p=1.70e-03),,19070887,(p=1.90e-03),,19757306,(p=2.60e-03),,21890746,(p=2.80e-03),,21745168,(p=4.00e-03),,25022375,(p=4.00e-03),,18798551,(p=5.30e-03),,15695403,(p=5.60e-03),,17607588,(p=5.60e-03),
53,53,3662,IRF4,-,162,11,5.228e-17,19656156,(p=8.46e-05),,27419920,(p=1.40e-03),,26119939,(p=2.60e-03),,19787248,(p=3.60e-03),,22994707,(p=4.10e-03),,19448593,(p=5.30e-03),,21623692,(p=6.00e-03),,21487109,(p=6.40e-03),,27113098,(p=7.10e-03),,17768115,(p=9.40e-03),
54,54,6790,AURKA,-,611,16,7.045e-17,27502708,(p=3.30e-03),,27209210,(p=3.30e-03),,18669163,(p=4.10e-03),,28404933,(p=4.10e-03),,25547434,(p=5.30e-03),,19671766,(p=5.80e-03),,21479365,(p=6.20e-03),,25082261,(p=6.40e-03),,23627634,(p=8.50e-03),,20382844,(p=8.50e-03),
55,55,968,CD68,-,70,9,7.843e-17,25204373,(p=1.90e-03),,23549871,(p=1.90e-03),,24766492,(p=2.40e-03),,26621103,(p=2.70e-03),,22955918,(p=4.00e-03),,28508176,(p=5.30e-03),,22044760,(p=6.90e-03),,22948049,(p=8.50e-03),,24067108,(p=9.10e-03),,NA,
56,56,6774,STAT3,-,2272,27,1.18e-16,23018644,(p=8.01e-04),,21806788,(p=1.30e-03),,28646535,(p=1.90e-03),,26255115,(p=2.10e-03),,22967991,(p=2.80e-03),,27924626,(p=3.10e-03),,21343371,(p=3.10e-03),,17920763,(p=4.10e-03),,28376152,(p=4.10e-03),,23446809,(p=4.30e-03),
57,57,10018,BCL2L11,-,424,14,1.362e-16,26874859,(p=8.00e-04),,22131152,(p=1.40e-03),,22905229,(p=2.50e-03),,19541822,(p=2.80e-03),,27490929,(p=4.30e-03),,26001141,(p=5.80e-03),,28641145,(p=6.20e-03),,28869600,(p=6.80e-03),,24737648,(p=6.80e-03),,21130142,(p=8.50e-03),
58,58,768,CA9,-,259,12,2.226e-16,16954440,(p=5.01e-04),,24893880,(p=1.70e-03),,24821582,(p=2.70e-03),,12576453,(p=4.00e-03),,26993100,(p=5.50e-03),,25890268,(p=5.80e-03),,17245699,(p=5.80e-03),,27184798,(p=6.80e-03),,19619339,(p=8.60e-03),,25422154,(p=9.10e-03),
59,59,2146,EZH2,-,780,16,2.563e-15,21713757,(p=2.60e-03),,25586788,(p=3.50e-03),,28438623,(p=4.00e-03),,27998273,(p=4.00e-03),,25262426,(p=4.00e-03),,25051981,(p=4.30e-03),,25275047,(p=4.90e-03),,19904743,(p=5.30e-03),,26280220,(p=6.80e-03),,26435191,(p=8.30e-03),
60,60,3492,IGH,-,109,9,4.537e-15,26239087,(p=2.12e-04),,20160358,(p=1.90e-03),,24048795,(p=2.60e-03),,14670929,(p=4.40e-03),,19340428,(p=5.20e-03),,25016705,(p=6.40e-03),,21487109,(p=6.40e-03),,20511662,(p=8.50e-03),,15717690,(p=8.70e-03),,NA,
61,61,1026,CDKN1A,-,1511,20,1.216e-14,17388661,(p=2.13e-04),,27364124,(p=4.02e-04),,23982416,(p=8.03e-04),,12151346,(p=2.30e-03),,21637966,(p=3.10e-03),,20388787,(p=4.00e-03),,22675167,(p=5.30e-03),,15695403,(p=5.60e-03),,17925548,(p=6.20e-03),,14580260,(p=6.20e-03),
62,62,8842,PROM1,-,483,13,1.523e-14,22394107,(p=2.12e-04),,17388661,(p=2.13e-04),,25823028,(p=2.50e-03),,27748881,(p=3.30e-03),,26406410,(p=3.60e-03),,23532815,(p=4.60e-03),,28137267,(p=6.20e-03),,23991844,(p=6.90e-03),,23558457,(p=8.30e-03),,26996296,(p=8.50e-03),
63,63,7852,CXCR4,-,1729,21,1.828e-14,25378977,(p=2.02e-04),,25704881,(p=4.04e-04),,26269605,(p=3.20e-03),,25231113,(p=3.30e-03),,26538086,(p=3.50e-03),,28196146,(p=4.10e-03),,20338046,(p=4.10e-03),,28280994,(p=5.40e-03),,24859274,(p=5.80e-03),,22220212,(p=5.80e-03),
64,64,1029,CDKN2A,-,2118,23,2.087e-14,20435884,(p=8.34e-05),,17388661,(p=2.13e-04),,27090891,(p=8.03e-04),,26457030,(p=8.04e-04),,25541826,(p=2.10e-03),,24449825,(p=3.70e-03),,21325069,(p=4.00e-03),,20338046,(p=4.10e-03),,26022239,(p=4.30e-03),,25640361,(p=4.40e-03),
65,65,5241,PGR,-,675,14,6.099e-14,20920367,(p=8.01e-04),,18668363,(p=1.90e-03),,23818347,(p=2.20e-03),,21901395,(p=2.30e-03),,27022068,(p=3.50e-03),,19205877,(p=3.60e-03),,19676041,(p=6.10e-03),,25170613,(p=6.20e-03),,22004841,(p=7.10e-03),,26053183,(p=7.90e-03),
66,66,921,CD5,-,93,8,1.009e-13,26800311,(p=6.08e-05),,22333190,(p=8.01e-04),,26369546,(p=8.04e-04),,28039906,(p=1.90e-03),,18006695,(p=4.00e-03),,24166616,(p=5.30e-03),,22406370,(p=5.80e-03),,18556402,(p=9.70e-03),,NA,,NA,
