,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
50,50,5795,PTPRJ,-,96,18,0,25634668,(p=1.05e-04),,21262971,(p=1.70e-03),,25772245,(p=1.70e-03),,9115287,(p=4.10e-03),,19494114,(p=4.10e-03),,18936167,(p=4.40e-03),,28316102,(p=4.70e-03),,16778204,(p=4.80e-03),,21304107,(p=5.10e-03),,15231692,(p=5.60e-03),
51,51,6098,ROS1,-,119,22,0,23400546,(p=1.05e-04),,24349229,(p=5.02e-04),,25978031,(p=5.04e-04),,27401242,(p=1.10e-03),,25688157,(p=1.10e-03),,22617245,(p=1.40e-03),,23719267,(p=1.70e-03),,28759046,(p=1.70e-03),,27912827,(p=2.20e-03),,25351743,(p=2.20e-03),
52,52,2254,FGF9,-,77,14,0,18593907,(p=5.02e-04),,21666490,(p=1.90e-03),,26916220,(p=3.90e-03),,27816766,(p=4.40e-03),,14534538,(p=4.60e-03),,11294897,(p=6.10e-03),,26773067,(p=6.10e-03),,18165946,(p=6.10e-03),,25766327,(p=7.10e-03),,24015269,(p=8.80e-03),
53,53,23239,PHLPP1,-,77,14,0,28212545,(p=1.10e-03),,24530606,(p=1.70e-03),,20861921,(p=2.00e-03),,22044669,(p=3.60e-03),,21804599,(p=4.10e-03),,15951569,(p=4.80e-03),,26245343,(p=5.00e-03),,19261608,(p=5.50e-03),,27248326,(p=5.60e-03),,19797085,(p=5.60e-03),
54,54,4921,DDR2,-,94,17,0,26826182,(p=9.86e-05),,25348954,(p=1.02e-04),,22328973,(p=1.00e-03),,25842034,(p=1.10e-03),,21701781,(p=1.70e-03),,25130389,(p=1.70e-03),,25173530,(p=2.20e-03),,24740739,(p=3.20e-03),,24556606,(p=3.60e-03),,24885564,(p=3.60e-03),
55,55,1903,S1PR3,-,73,13,0,27616330,(p=1.70e-03),,27856637,(p=2.60e-03),,20979115,(p=2.80e-03),,19633297,(p=4.00e-03),,10537322,(p=4.40e-03),,28240350,(p=5.10e-03),,18612546,(p=6.00e-03),,10794715,(p=7.10e-03),,10617617,(p=7.30e-03),,18658144,(p=8.40e-03),
56,56,140885,SIRPA,-,108,19,0,15374953,(p=1.08e-04),,10962556,(p=1.30e-03),,19299420,(p=1.70e-03),,20826546,(p=1.70e-03),,20473329,(p=1.90e-03),,23504854,(p=2.00e-03),,15888547,(p=2.20e-03),,27856600,(p=2.20e-03),,14729615,(p=2.60e-03),,17178844,(p=4.40e-03),
57,57,2887,GRB10,-,92,16,0,19165858,(p=5.02e-04),,9360986,(p=1.70e-03),,23190452,(p=4.00e-03),,11809791,(p=5.10e-03),,11223174,(p=5.10e-03),,16434550,(p=5.10e-03),,9553107,(p=5.50e-03),,24658140,(p=6.20e-03),,23246379,(p=6.20e-03),,11494124,(p=6.30e-03),
58,58,5600,MAPK11,-,115,20,0,14557269,(p=1.00e-03),,21911485,(p=1.10e-03),,18192325,(p=3.60e-03),,11154262,(p=4.10e-03),,23807508,(p=4.40e-03),,12475989,(p=4.70e-03),,10207622,(p=5.10e-03),,23625915,(p=5.10e-03),,22157753,(p=5.60e-03),,14724572,(p=5.60e-03),
59,59,2886,GRB7,-,75,13,0,24189400,(p=1.05e-04),,20126311,(p=2.02e-04),,17916906,(p=1.20e-03),,19717535,(p=1.70e-03),,9360986,(p=1.70e-03),,19473962,(p=2.40e-03),,20388850,(p=3.60e-03),,16595785,(p=4.10e-03),,20622016,(p=4.40e-03),,17426702,(p=4.80e-03),
