,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
59,59,1869,E2F1,-,703,55,2.083e-62,12065845,(p=1.32e-04),,26234677,(p=2.06e-04),,20133863,(p=2.07e-04),,20585447,(p=9.01e-04),,25136922,(p=1.10e-03),,15140942,(p=1.10e-03),,26833126,(p=1.30e-03),,25788226,(p=1.50e-03),,12679318,(p=1.70e-03),,23792570,(p=2.00e-03),
60,60,4780,NFE2L2,-,1034,63,5.505e-62,21842204,(p=6.06e-04),,23108405,(p=7.00e-04),,26536456,(p=9.01e-04),,21062981,(p=9.02e-04),,28032588,(p=1.10e-03),,24491031,(p=1.40e-03),,25053821,(p=1.40e-03),,26300493,(p=1.80e-03),,22387177,(p=1.90e-03),,21676886,(p=2.00e-03),
61,61,10111,RAD50,-,240,39,1.372e-61,28073364,(p=1.30e-04),,24642965,(p=1.31e-04),,19383352,(p=6.02e-04),,18469862,(p=6.06e-04),,23530059,(p=9.02e-04),,10959836,(p=1.10e-03),,15456891,(p=1.80e-03),,24934408,(p=2.20e-03),,19190165,(p=2.30e-03),,25576492,(p=2.50e-03),
62,62,595,CCND1,-,1381,69,2.669e-60,28627709,(p=2.03e-04),,28349562,(p=2.09e-04),,20072652,(p=3.03e-04),,23388457,(p=9.01e-04),,19903334,(p=1.10e-03),,18327210,(p=1.40e-03),,19412162,(p=1.40e-03),,26561473,(p=1.40e-03),,15377668,(p=1.90e-03),,20631636,(p=1.90e-03),
63,63,5599,MAPK8,-,927,58,2.283e-59,24787013,(p=2.02e-04),,23440494,(p=2.06e-04),,18594007,(p=6.01e-04),,25341038,(p=6.03e-04),,21931671,(p=6.05e-04),,23817665,(p=6.07e-04),,19468799,(p=7.01e-04),,24040019,(p=7.02e-04),,27401020,(p=8.00e-04),,21504622,(p=1.50e-03),
64,64,2547,XRCC6,-,419,44,5.466e-59,21679440,(p=2.09e-04),,12750264,(p=3.02e-04),,25749521,(p=3.03e-04),,10400681,(p=6.07e-04),,16490787,(p=8.01e-04),,21575865,(p=1.00e-03),,11070027,(p=1.10e-03),,15827325,(p=1.10e-03),,19177010,(p=1.50e-03),,23624778,(p=1.50e-03),
65,65,2146,EZH2,-,780,54,6.942e-59,29035360,(p=1.34e-04),,27728808,(p=2.03e-04),,24850841,(p=6.06e-04),,25890085,(p=7.02e-04),,26631032,(p=1.20e-03),,27472460,(p=1.20e-03),,27253463,(p=1.40e-03),,27391784,(p=1.50e-03),,27172794,(p=1.80e-03),,26573802,(p=1.90e-03),
66,66,5925,RB1,-,1124,62,6.849e-59,17160137,(p=2.09e-04),,17671693,(p=3.00e-04),,23949216,(p=6.02e-04),,21139044,(p=6.04e-04),,25028469,(p=6.07e-04),,23670186,(p=9.00e-04),,12509456,(p=9.01e-04),,17616676,(p=1.00e-03),,18381962,(p=1.00e-03),,27148695,(p=1.00e-03),
67,67,7465,WEE1,-,152,33,1.474e-58,24536047,(p=1.29e-04),,26054341,(p=1.31e-04),,28652249,(p=1.32e-04),,26598692,(p=3.02e-04),,27558135,(p=6.02e-04),,15735702,(p=6.02e-04),,22719872,(p=6.02e-04),,22641220,(p=6.03e-04),,26890070,(p=6.05e-04),,21529352,(p=7.00e-04),
68,68,1019,CDK4,-,482,45,1.095e-57,27986745,(p=1.35e-04),,25876993,(p=2.05e-04),,28349562,(p=2.09e-04),,20354191,(p=3.00e-04),,28947417,(p=3.02e-04),,22733811,(p=6.01e-04),,25991817,(p=6.02e-04),,25028469,(p=6.07e-04),,24496383,(p=8.00e-04),,12509456,(p=9.01e-04),
69,69,7520,XRCC5,-,398,42,4.12e-57,21679440,(p=2.09e-04),,12750264,(p=3.02e-04),,25749521,(p=3.03e-04),,17214517,(p=5.01e-04),,22226916,(p=5.01e-04),,10400681,(p=6.07e-04),,16490787,(p=8.01e-04),,17289874,(p=1.00e-03),,20668194,(p=1.00e-03),,21575865,(p=1.00e-03),
70,70,558,AXL,-,235,36,6.296e-57,27671334,(p=2.02e-04),,22890323,(p=6.04e-04),,23527720,(p=8.01e-04),,28072762,(p=9.02e-04),,25767293,(p=1.00e-03),,28251492,(p=1.00e-03),,27893463,(p=1.80e-03),,26036314,(p=2.30e-03),,27279912,(p=2.30e-03),,25125659,(p=2.60e-03),
71,71,4851,NOTCH1,-,1098,59,1.9e-56,18593923,(p=6.07e-04),,21679465,(p=9.00e-04),,24885920,(p=9.01e-04),,25879451,(p=1.20e-03),,23500524,(p=1.30e-03),,26670666,(p=1.30e-03),,27870570,(p=1.40e-03),,21326611,(p=1.70e-03),,18469855,(p=2.20e-03),,27941886,(p=2.40e-03),
72,72,2932,GSK3B,-,1118,59,5.021e-56,24117074,(p=4.02e-04),,22286758,(p=4.02e-04),,23729362,(p=5.00e-04),,22534782,(p=6.01e-04),,12778079,(p=6.03e-04),,20031160,(p=8.00e-04),,24239461,(p=1.10e-03),,25495526,(p=1.30e-03),,27424289,(p=1.50e-03),,24327518,(p=1.70e-03),
73,73,238,ALK,-,529,45,6.635e-56,27986745,(p=1.35e-04),,24288180,(p=6.06e-04),,22203728,(p=6.07e-04),,19535344,(p=7.01e-04),,24419060,(p=9.01e-04),,26973324,(p=1.20e-03),,21847362,(p=1.40e-03),,19667264,(p=1.60e-03),,26719536,(p=2.00e-03),,26537995,(p=2.30e-03),
74,74,9656,MDC1,-,143,31,1.098e-55,26247734,(p=6.00e-04),,25976740,(p=6.04e-04),,27334757,(p=7.02e-04),,24240613,(p=8.01e-04),,28275011,(p=1.20e-03),,22661229,(p=1.30e-03),,12551934,(p=2.20e-03),,23038782,(p=2.20e-03),,26845027,(p=2.30e-03),,24550317,(p=3.00e-03),
75,75,5747,PTK2,-,828,52,2.462e-55,26386190,(p=2.04e-04),,18263593,(p=3.00e-04),,24848258,(p=4.01e-04),,26962872,(p=6.00e-04),,27009091,(p=6.04e-04),,27736841,(p=6.04e-04),,22402131,(p=6.07e-04),,22937161,(p=6.07e-04),,26892465,(p=1.00e-03),,25971297,(p=1.00e-03),
76,76,3717,JAK2,-,1189,56,1.218e-51,24158701,(p=2.07e-04),,24886434,(p=3.01e-04),,26084564,(p=6.01e-04),,22050790,(p=6.04e-04),,20072651,(p=7.00e-04),,18829483,(p=7.02e-04),,26360705,(p=8.01e-04),,27075627,(p=1.30e-03),,24402583,(p=1.40e-03),,28602977,(p=1.40e-03),
77,77,2068,ERCC2,-,795,48,1.266e-51,24780295,(p=2.01e-04),,14668933,(p=3.02e-04),,25722380,(p=6.05e-04),,26124006,(p=1.10e-03),,18509181,(p=1.20e-03),,27449101,(p=1.20e-03),,23617284,(p=1.70e-03),,17410042,(p=1.80e-03),,25096233,(p=1.80e-03),,23390054,(p=1.90e-03),
