,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
38,38,6714,SRC,-,1255,157,2.212e-149,21618517,(p=8.95e-05),,19861436,(p=1.02e-04),,21646863,(p=2.02e-04),,18922903,(p=3.02e-04),,21300758,(p=4.03e-04),,23920124,(p=4.04e-04),,20460377,(p=4.05e-04),,22388352,(p=4.06e-04),,19223541,(p=4.07e-04),,16849545,(p=4.07e-04),
39,39,4780,NFE2L2,-,1034,143,5.225e-147,25358602,(p=9.81e-05),,23108405,(p=1.04e-04),,21842204,(p=2.01e-04),,28032588,(p=4.04e-04),,22275372,(p=5.02e-04),,24743738,(p=5.02e-04),,24311782,(p=6.01e-04),,27213353,(p=6.01e-04),,26721202,(p=7.01e-04),,20805228,(p=7.01e-04),
40,40,2932,GSK3B,-,1118,144,2.421e-143,22286758,(p=8.95e-05),,23729362,(p=1.02e-04),,23243017,(p=4.01e-04),,22534782,(p=4.02e-04),,20920357,(p=5.00e-04),,28419994,(p=5.01e-04),,24239461,(p=5.01e-04),,12778079,(p=5.02e-04),,17991738,(p=6.00e-04),,27481517,(p=6.00e-04),
41,41,2305,FOXM1,-,363,96,1.27e-141,25391371,(p=8.99e-05),,23531216,(p=1.02e-04),,28482906,(p=4.01e-04),,26316295,(p=4.01e-04),,27185371,(p=4.03e-04),,26560505,(p=4.04e-04),,23857410,(p=5.01e-04),,26918606,(p=5.02e-04),,22049175,(p=5.03e-04),,27439614,(p=8.01e-04),
42,42,1869,E2F1,-,703,119,4.842e-141,12065845,(p=9.87e-05),,25174355,(p=1.00e-04),,18722373,(p=4.03e-04),,22216287,(p=4.07e-04),,25788226,(p=5.02e-04),,22871739,(p=6.01e-04),,23306062,(p=6.01e-04),,23792570,(p=7.01e-04),,28068326,(p=8.01e-04),,26833126,(p=8.02e-04),
43,43,578,BAK1,-,306,90,9.532e-140,17927446,(p=7.52e-05),,23680104,(p=9.38e-05),,11728179,(p=1.03e-04),,25649765,(p=2.01e-04),,20503275,(p=4.02e-04),,17227835,(p=4.05e-04),,25304383,(p=4.06e-04),,22526391,(p=4.06e-04),,26004684,(p=6.00e-04),,21132008,(p=6.01e-04),
44,44,27113,BBC3,-,189,78,3.146e-139,21863213,(p=8.63e-05),,22286758,(p=8.95e-05),,26917778,(p=9.67e-05),,20978166,(p=9.86e-05),,22359675,(p=1.03e-04),,23532334,(p=1.04e-04),,25895606,(p=1.04e-04),,26904937,(p=4.05e-04),,27924057,(p=4.06e-04),,21153863,(p=4.06e-04),
45,45,5970,RELA,-,1309,147,6.53e-137,26375985,(p=1.02e-04),,20706634,(p=1.03e-04),,19746155,(p=3.02e-04),,20457620,(p=4.01e-04),,26593250,(p=4.02e-04),,26247921,(p=5.02e-04),,28629334,(p=6.00e-04),,25926105,(p=6.00e-04),,16483679,(p=6.00e-04),,20154269,(p=6.01e-04),
46,46,595,CCND1,-,1381,150,1.393e-136,20072652,(p=4.02e-04),,20515940,(p=4.03e-04),,21746927,(p=4.04e-04),,18431519,(p=4.04e-04),,28349562,(p=4.07e-04),,19412162,(p=5.01e-04),,15505422,(p=5.01e-04),,19903334,(p=6.01e-04),,19757306,(p=6.02e-04),,26671528,(p=7.00e-04),
47,47,3845,KRAS,-,2028,178,1.918e-136,27607580,(p=7.92e-05),,24011934,(p=9.30e-05),,28846180,(p=9.44e-05),,21277645,(p=9.67e-05),,21385921,(p=1.04e-04),,27121230,(p=1.04e-04),,23908594,(p=3.00e-04),,28032595,(p=4.04e-04),,26351322,(p=4.05e-04),,24694877,(p=5.01e-04),
48,48,355,FAS,-,1113,136,2.656e-135,27391025,(p=9.36e-05),,18494554,(p=9.58e-05),,22669972,(p=3.01e-04),,24895135,(p=4.02e-04),,9751072,(p=4.03e-04),,21430781,(p=4.04e-04),,19266094,(p=5.01e-04),,22147197,(p=5.02e-04),,21613217,(p=5.03e-04),,21741956,(p=6.01e-04),
49,49,673,BRAF,-,1852,169,4.147e-135,21107323,(p=1.03e-04),,22180495,(p=1.04e-04),,27351224,(p=2.01e-04),,23447565,(p=3.00e-04),,23908594,(p=3.00e-04),,21936566,(p=4.03e-04),,24398428,(p=4.05e-04),,21317202,(p=4.05e-04),,26351322,(p=4.05e-04),,27765849,(p=4.07e-04),
50,50,2146,EZH2,-,780,118,1.943e-134,25890085,(p=9.75e-05),,27391784,(p=5.01e-04),,26304929,(p=5.03e-04),,26631032,(p=6.01e-04),,27882937,(p=8.01e-04),,27941792,(p=9.01e-04),,24850841,(p=1.00e-03),,28813519,(p=1.10e-03),,22675170,(p=1.10e-03),,27472460,(p=1.10e-03),
51,51,5347,PLK1,-,605,106,5.449e-132,21436619,(p=9.97e-05),,23753023,(p=2.00e-04),,27558135,(p=3.01e-04),,25480943,(p=3.01e-04),,23144294,(p=3.02e-04),,22188812,(p=4.01e-04),,28652654,(p=4.02e-04),,24874015,(p=4.02e-04),,25826089,(p=4.03e-04),,23790466,(p=4.03e-04),
52,52,1111,CHEK1,-,455,96,2.291e-131,24098799,(p=1.04e-04),,24913641,(p=3.02e-04),,25428911,(p=4.01e-04),,25460505,(p=4.03e-04),,26988986,(p=4.04e-04),,21212274,(p=4.04e-04),,24113549,(p=4.04e-04),,27743911,(p=4.04e-04),,28228262,(p=5.01e-04),,21179472,(p=5.02e-04),
53,53,10413,YAP1,-,554,102,8.238e-131,28376152,(p=3.02e-04),,28376174,(p=4.06e-04),,27832783,(p=4.07e-04),,26119935,(p=5.03e-04),,24810989,(p=6.00e-04),,26771844,(p=6.00e-04),,26944315,(p=8.01e-04),,28684311,(p=1.20e-03),,26432639,(p=1.20e-03),,28576749,(p=1.20e-03),
54,54,572,BAD,-,267,81,2.124e-130,17927446,(p=7.52e-05),,18676776,(p=9.13e-05),,28569785,(p=9.99e-05),,18449891,(p=4.04e-04),,21849418,(p=4.07e-04),,25215949,(p=5.01e-04),,12842996,(p=5.02e-04),,26467384,(p=6.00e-04),,20339252,(p=6.02e-04),,26721202,(p=7.01e-04),
55,55,56616,DIABLO,-,217,76,8.041e-130,25889084,(p=8.56e-05),,23225169,(p=8.80e-05),,23240027,(p=8.92e-05),,21676925,(p=9.33e-05),,15242764,(p=9.47e-05),,21242120,(p=9.51e-05),,23403634,(p=9.73e-05),,28424988,(p=9.89e-05),,23699656,(p=1.00e-04),,25501823,(p=3.02e-04),
56,56,5747,PTK2,-,828,116,4.614e-129,27736841,(p=9.99e-05),,26962872,(p=1.03e-04),,26892465,(p=1.04e-04),,28533307,(p=2.02e-04),,26386190,(p=3.01e-04),,25971297,(p=4.02e-04),,27009091,(p=4.04e-04),,23920124,(p=4.04e-04),,24062525,(p=4.05e-04),,24523919,(p=4.05e-04),
57,57,7161,TP73,-,576,102,4.913e-129,21933882,(p=3.02e-04),,21212274,(p=4.04e-04),,21261729,(p=4.06e-04),,21801448,(p=4.06e-04),,25341038,(p=4.06e-04),,15609309,(p=5.02e-04),,19763917,(p=5.02e-04),,25659586,(p=5.02e-04),,23880825,(p=6.00e-04),,20540768,(p=6.01e-04),
58,58,2099,ESR1,-,2923,201,4.021e-128,25275589,(p=8.56e-05),,26556313,(p=9.59e-05),,24045439,(p=9.68e-05),,28320353,(p=1.01e-04),,18593923,(p=3.01e-04),,20460377,(p=4.05e-04),,25864647,(p=4.06e-04),,22216287,(p=4.07e-04),,16113100,(p=5.01e-04),,29029116,(p=5.01e-04),
59,59,6790,AURKA,-,611,101,5.04e-125,19649632,(p=8.81e-05),,28764929,(p=1.03e-04),,25609923,(p=1.04e-04),,25362855,(p=2.01e-04),,22222631,(p=3.01e-04),,23334327,(p=3.01e-04),,28073841,(p=3.01e-04),,25624750,(p=4.01e-04),,24874015,(p=4.02e-04),,25882311,(p=4.02e-04),
60,60,558,AXL,-,235,75,6.363e-125,28072762,(p=4.04e-04),,27671334,(p=4.06e-04),,20818175,(p=4.06e-04),,28118606,(p=4.06e-04),,28251492,(p=5.01e-04),,22890323,(p=5.02e-04),,26036314,(p=6.00e-04),,27856601,(p=6.01e-04),,23921085,(p=8.01e-04),,27927748,(p=8.01e-04),
61,61,238,ALK,-,529,96,9.478e-125,27986745,(p=8.26e-05),,28370702,(p=4.03e-04),,19535344,(p=4.04e-04),,24419060,(p=4.05e-04),,26147305,(p=4.06e-04),,16254137,(p=4.06e-04),,21847362,(p=5.01e-04),,25228590,(p=7.00e-04),,22203728,(p=7.01e-04),,19723661,(p=8.01e-04),
62,62,5243,ABCB1,-,2076,165,1.132e-124,25908454,(p=9.49e-05),,17526808,(p=9.93e-05),,18654608,(p=1.02e-04),,24190517,(p=2.00e-04),,16288004,(p=4.01e-04),,23941826,(p=4.04e-04),,25801244,(p=5.01e-04),,17671692,(p=5.02e-04),,26850595,(p=6.01e-04),,27169328,(p=6.01e-04),
